20 # total generations
20 # population p1
20 # population p2
0.335273 0.772933 0.956887 6
0.330644 0.809432 0.921105 6
0.320307 0.821098 0.794815 6
0.339475 0.748905 0 6
0.230653 0.680686 0 6
0.307336 0.834651 0 6
0.307329 0.372461 0 6
0.291818 0.416019 0 6
0.279125 0.797745 0 6
0.345869 0.793003 0 6
0.278364 0.817049 0 6
0.327067 0.645853 0 6
0.297382 0.646528 0 6
0.241038 0.212385 0.798441 26
0.23891 0.221005 0.776754 26
0.221007 0.234188 0.759883 26
0.230862 0.230962 0.758176 26
0.230953 0.236739 0.744825 26
0.265084 0.239105 0.719989 26
0.216103 0.254174 0.718606 26
0.239266 0.248584 0.713724 26
0.197712 0.238075 0.689755 26
0.203191 0.265939 0.685704 26
0.245231 0.183027 0 26
0.254988 0.29327 0 26
0.28018 0.242979 0 26
0.227348 0.208027 0 26
0.235013 0.205621 0 26
0.252781 0.230085 0 26
0.207528 0.232031 0 26
0.19971 0.229052 0 26
0.22927 0.23546 0 26
0.257595 0.177968 0 26
0.279125 0.797745 0.887218 7
0.291818 0.416019 0.884965 7
0.230653 0.680686 0.685992 7
0.307375 0.802296 0.632665 7
0.278364 0.817049 0.621518 7
0.286771 0.813802 0.606894 7
0.318124 0.436046 0.585199 7
0.328495 0.424111 0.564502 7
0.22046 0.639506 0.544978 7
0.214479 0.695769 0.544686 7
0.238784 0.672721 0 7
0.334787 0.390852 0 7
0.284976 0.356415 0 7
0.314226 0.387367 0 7
0.327781 0.388071 0 7
0.312169 0.831616 0 7
0.311408 0.386954 0 7
0.211098 0.6146 0 7
0.316992 0.646358 0 7
0.316167 0.806656 0 7
0.227348 0.208027 0.437673 27
0.241038 0.212385 0.415621 27
0.23891 0.221005 0.394393 27
0.230862 0.230962 0.377649 27
0.221007 0.234188 0.369917 27
0.22927 0.23546 0.367226 27
0.230953 0.236739 0.364181 27
0.252781 0.230085 0.360974 27
0.207528 0.232031 0.35366 27
0.19971 0.229052 0.33984 27
0.2522 0.193383 0 27
0.226118 0.182692 0 27
0.237907 0.243525 0 27
0.227111 0.228726 0 27
0.180337 0.270675 0 27
0.207469 0.213384 0 27
0.235378 0.233979 0 27
0.193422 0.205699 0 27
0.24208 0.189376 0 27
0.245412 0.186555 0 27
0.279125 0.797745 0.873307 8
0.291818 0.416019 0.81713 8
0.311408 0.386954 0.816526 8
0.230653 0.680686 0.793722 8
0.314226 0.387367 0.793066 8
0.238784 0.672721 0.791003 8
0.327781 0.388071 0.689933 8
0.214479 0.695769 0.667147 8
0.22046 0.639506 0.657522 8
0.334787 0.390852 0.624872 8
0.312408 0.370176 0 8
0.284208 0.342806 0 8
0.302885 0.37077 0 8
0.259404 0.840261 0 8
0.311192 0.377375 0 8
0.363348 0.354446 0 8
0.236768 0.358618 0 8
0.274045 0.655667 0 8
0.24107 0.683515 0 8
0.315472 0.334999 0 8
0.207469 0.213384 0.569962 28
0.221007 0.234188 0.551488 28
0.227111 0.228726 0.551387 28
0.241038 0.212385 0.547023 28
0.230862 0.230962 0.544435 28
0.207528 0.232031 0.543601 28
0.22927 0.23546 0.540897 28
0.23891 0.221005 0.54059 28
0.230953 0.236739 0.537381 28
0.235378 0.233979 0.530987 28
0.188878 0.238499 0 28
0.211336 0.246872 0 28
0.203742 0.235879 0 28
0.268211 0.252237 0 28
0.234477 0.23586 0 28
0.2224 0.217743 0 28
0.245738 0.25147 0 28
0.2335 0.212513 0 28
0.239081 0.188018 0 28
0.230883 0.195349 0 28
0.284208 0.342806 1.05317 9
0.315472 0.334999 0.864965 9
0.302885 0.37077 0.728811 9
0.312408 0.370176 0.660152 9
0.311192 0.377375 0.626277 9
0.279125 0.797745 0.587234 9
0.311408 0.386954 0.569338 9
0.291818 0.416019 0.567437 9
0.314226 0.387367 0.545873 9
0.230653 0.680686 0.533193 9
